YearsExperience,Salary
1.1,39343.00
1.3,40205.00
1.5,37731.00
1.3,47731.00
1.23,46731.00
1.33,37731.00
2.0,43525.00
2.1,33525.00
2.31,43525.00
2.2,39891.00
2.9,76642.00
3.0,60150.00
3.2,54445.00
3.2,74445.00
3.2,64445.00
3.7,57189.00
3.9,63218.00
4.0,55794.00
4.0,56957.00
4.1,57081.00
4.2,57000.00
4.12,47000.00
4.5,61111.00
4.9,67938.00
5.1,56029.00
5.2,53088.00
5.25,63088.00
5.3,73088.00
5.4,72090.00
5.14,72090.00
5.6,52090.00
5.65,72090.00
5.68,62090.00
5.9,51363.00
6.0,53940.00
6.8,51738.00
7.1,98273.00
7.8,101302.00
7.18,71302.00
7.9,101302.00
8.2,113812.00
8.7,89431.00
9.0,105582.00
9.5,116969.00
9.6,112635.00
9.3,92635.00
9.3,62635.00
9.4,52635.00
9.2,42635.00
10.3,192391.00
10.13,182391.00
10.5,121872.00
10.4,120190.00

